image,n_objects,n_fg_px,snr_mean,snr_median,snr_pooled,cnr_mean,cnr_median,cnr_pooled,weber_contrast_mean,weber_contrast_median,weber_contrast_pooled,mu_F_pooled,mu_B_pooled,sigma_B_mad_pooled,n_bg_px_pooled
A33_002.tif,40,189422,3.380576311625515,3.2576837177492313,3.1209797079305637,1.3426588587700965,1.307108808807072,1.1621913244026456,0.6771388586786682,0.621342934548108,0.593321531909963,43999.70737295562,27615.083642412024,14098.043399999999,306017
A33_003.tif,56,82163,3.4793922487600875,3.3890013241206134,3.2809412923743326,1.294234230721368,1.1790779044813735,1.2794093588875726,0.5966529212890073,0.5910603577779984,0.6392150619642212,45004.72157783918,27455.043954943292,13717.0152,259584
A33_004.tif,52,131238,3.534212475319823,3.389464558661862,3.3463584630489116,1.4408060086374037,1.3976894479502975,1.3948917957601839,0.6934878588330874,0.6800182412730411,0.7147915048416743,47177.10684405432,27511.86176910936,14098.043399999999,295889
A33_005.tif,53,122950,3.789519126953943,3.8500390803635667,3.858734833712016,1.6084970474610223,1.6922300724757655,1.6770796617437398,0.7254906414697171,0.7670434180743874,0.7687189448138304,45578.89042700284,25769.436439090463,11811.8742,312291
A33_10.00kV_0.10nA_22.5nm_500.00ns_006.tif,2,179260,4.509468255456589,4.509468255456589,4.62269333418646,1.3912185154250596,1.3912185154250596,1.5734255256895646,0.4478374387485381,0.4478374387485381,0.5160010941661858,239.8761798504965,158.22955588120504,51.891,135797
A33_10.00kV_0.10nA_33.7nm_50.00ns_003.tif,4,55134,3.382807910550177,3.6778811569595566,2.063267953707726,0.8374053908199574,0.8649409802790173,0.40429568848275865,0.361979299371958,0.34207453737314053,0.24370249999272642,174.3630609061559,140.1967600006743,84.5082,59321
A33_10.00kV_0.10nA_33.7nm_500.00ns_004.tif,3,44828,3.5964214614331715,3.8609527377752944,1.6178860132082533,0.9547580308499866,0.9313725631235565,0.3532658743139914,0.39858886613708044,0.3852641399150412,0.2793454440761617,167.9074462389578,131.24480726737048,103.782,40730
A33_10.00kV_0.10nA_45.0nm_500.00ns_005.tif,8,60771,4.260752237297847,4.160056195419811,2.325992889854609,1.450574689388253,1.4430178604937072,0.7403772989566979,0.555724632018408,0.524459400308275,0.4669336648474867,182.7714041236774,124.59418479431402,78.5778,69645
A33_10.00kV_0.20nA_42.2nm_50.00ns_007.tif,10,342499,3.0941212469165524,3.2383493046662295,3.080924095256825,0.8980376349562296,0.8111707971904139,1.0221157478112246,0.418769609514273,0.3541680583666887,0.4964598812567295,141.60112000327007,94.62406695419634,45.9606,222122
A33_15.00kV_0.20nA_33.7nm_500.00ns_016.tif,5,539981,4.114903889559022,4.040446411604347,3.598787235928168,1.8987037508525035,1.4779719337834545,1.8586616736121162,0.918056690001721,0.8077296778555241,1.0681192861413886,197.41579240751062,95.45667588892304,54.856199999999994,195180
A33_15.00kV_0.20nA_39.7nm_25.00ns_010.tif,4,196341,3.63855945842811,3.5097728608057808,2.6372485976427757,1.4648363030165106,1.2626871727538693,1.218469666286118,0.789599768661171,0.6582680333732167,0.8588157317822211,195.49923856963142,105.1740821956568,74.13,84822
A33_15.00kV_0.20nA_39.7nm_50.00ns_008.tif,2,73544,3.950146394567425,3.950146394567425,3.916281402981519,1.9856773829404937,1.9856773829404937,2.0310503767439188,1.0144883887294753,1.0144883887294753,1.077348265676622,185.8009218970956,89.44139264284803,47.4432,54831
A33_15.00kV_0.20nA_39.7nm_50.00ns_009.tif,4,185344,3.2507486593476367,3.58270969824564,2.353832226965366,1.130146597024022,0.9432603476087105,0.991408132899028,0.6189333276601016,0.46914478142153326,0.727679536150009,191.93854130697514,111.09614791607564,81.54299999999999,81073
A33_15.00kV_50pA_39.7nm_50.00ns_011.tif,11,345805,2.798857665606618,2.7236331899321375,2.0397201143325114,0.7714336737910702,0.7356629257451227,0.5344002733685473,0.441527095304437,0.33529832582309826,0.3550077922232956,190.5176096354882,140.6025933764831,93.40379999999999,227734
A33_20.00kV_0.20nA_22.5nm_50.00ns_018.tif,3,225232,3.7125361265947205,4.016388568122031,3.90977401610961,1.4111100678499104,1.5988535432387188,1.7786757393779191,0.6159044689354672,0.6146732570963681,0.8346286788582998,214.47534542160972,116.90395330935996,54.856199999999994,87041
A33_20.00kV_0.20nA_33.7nm_50.00ns_017.tif,5,142637,3.6835561002237447,4.06474285555222,3.6774612305932872,1.256687952982756,1.286106629220081,1.4475768808933935,0.528519935744447,0.4628553449897689,0.6491712814517707,218.0881608558789,132.24106149690132,59.303999999999995,113274
A33_20.00kV_0.20nA_33.7nm_500.00ns_014.tif,6,268733,4.071275768348308,4.2002447059411425,3.8130064494391886,1.5503978138865022,1.597727272403231,1.4435200463035442,0.6668903036196475,0.579418041517735,0.6092122091481699,226.1265345156717,140.52002167525112,59.303999999999995,179006
A33_20.00kV_0.20nA_33.7nm_500.00ns_015.tif,8,285673,4.182495729521492,4.231871549088789,3.6708425690846234,1.415530652610862,1.5205035743582747,1.3698666909699095,0.5843574601853776,0.5264851204507481,0.5953416130526146,223.1380389466278,139.86850033561763,60.7866,192183
A33_20.00kV_50pA_39.7nm_25.00ns_013.tif,6,501286,2.296830684788778,2.233358779132718,2.049907252680537,0.7049114934805624,0.7036911546315647,0.5986753219279615,0.44752112087488755,0.4528093303670402,0.41252904459315126,164.11639463300392,116.18620888333581,80.0604,308938
A33_20.00kV_50pA_89.9nm_15.00µs_021.tif,4,47016,8.44344695599137,8.281533725541351,8.335361728416572,4.745187965499314,5.313295962603044,5.476796545339164,1.525237186895139,1.2096601582205984,1.9159250161019687,173.01210226305938,59.33352239461358,20.7564,54656
A36 - Site 1.tif,25,62988,3.6556350977876764,3.6188620615765483,3.3515687095061217,1.1773827658802392,1.1096748114719288,1.0786913703292347,0.4690110638666677,0.4532245684563274,0.47459286593947425,40865.35016193561,27712.97156377821,12192.902399999999,163559
A36 - Site 2.tif,22,71810,3.4987299339642832,3.516041214247009,3.138954877597217,1.1488060369832716,1.1097415496942806,0.8979277370184928,0.4872152384956308,0.44340955113106406,0.40067686854799633,37076.94013368612,26470.73066332402,11811.8742,145992
A36 - Site 3.tif,21,76246,3.4816348241919295,3.6185238720173425,3.1261964656262253,1.0375666879767254,1.14312459650986,0.9920487474208965,0.42872365641637017,0.4846371497631959,0.46484539891866533,38117.40838863678,26021.454835281616,12192.902399999999,165616
A36 - Site 4.tif,33,64241,3.5761038329486854,3.6377505504117065,3.2395770234458054,1.1714623631406982,1.1694595022292817,1.1235540206070649,0.4885078335322402,0.48939383186447144,0.5309743887941466,41968.58686819944,27412.990821649328,12954.958799999999,165825
A36 - Site 5.tif,26,42951,3.606726914802908,3.4648254403871954,3.426756702204465,1.2355917928989255,1.0833205741866847,1.1886028651753089,0.5192197647404333,0.50704769802803,0.5310639713454642,35253.655328164656,23025.592651872823,10287.7614,124331
A37 - Site 2.tif,18,74718,3.1908465219931745,3.233273894253924,3.2043418360072735,1.1092814881677886,1.0633645872095898,1.1843045493280253,0.5237153826249691,0.4959927305194485,0.5862785588845832,31744.559650954256,20011.970453203427,9906.733199999999,135480
A37 - Site 3.tif,9,23840,3.7382209952588727,3.7989944960459,3.4021118472787655,1.528787935555044,1.577206202769743,1.495204370417377,0.6661594792273065,0.7511450898305537,0.7840990654027787,33703.814387583894,18891.223610370016,9906.733199999999,54349
A37 - Site 4.tif,21,72603,3.236157302742563,3.0804410413117935,3.3201717753271747,1.1114013167648902,1.08208565846877,1.3200346229332134,0.5242748440942291,0.5235034340294578,0.6599720530928033,37952.37225734474,22863.259767913907,11430.846,130555
A37 - Site 5.tif,34,132129,3.4423557812698413,3.1103227153583886,3.3010387346805765,1.21130432876215,1.0306632442550698,1.2913636534956148,0.5437054108498206,0.5631153881425408,0.6425733520731945,33960.29887458469,20675.057726776613,10287.7614,199734
A37 - Site 6.tif,27,43267,3.748548106865676,3.652197947688926,3.4667120289525455,1.3506836324626976,1.2059740534223082,1.2871781070331143,0.5601387533104356,0.5601946945626096,0.5905749362684716,35664.70619640835,22422.524951935135,10287.7614,131593
A41 - Site 12.tif,3,165487,4.325436179694017,4.545174048467971,4.734541536935049,0.8528920547197912,1.1934495369128182,1.8229273492617837,0.2787355860460174,0.31148309407478986,0.6260882217168238,168.46635083118312,103.60222070058136,35.5824,74481
A41 - Site 5.tif,4,185457,3.3929753165238927,3.5924973328695575,3.2630266624674586,0.4953930771853189,0.7436887962618055,1.16923728904228,0.24336731488661098,0.2590479134503676,0.5584311888019811,130.61960993653514,83.81480739702249,40.0302,59916
