image,object_id,area_px,mu_F,mu_B,sigma_B_mad,n_bg_px,snr,cnr,weber_contrast
A112 - 223.tif,7,2098,168.27645376549094,123.05007684426229,54.856199999999994,7808,3.0675922454492843,0.82445333276793,0.3675444833309104
A112 - 223.tif,8,3567,133.91141014858425,91.01070072488781,37.065,5794,3.6128803483732757,1.157445282938675,0.4713809373764221
A112 - 223.tif,9,7366,151.53231061634537,89.80559532988215,40.0302,9079,3.785449749901096,1.54200366900598,0.6873370757451094
A112 - 223.tif,10,30102,194.64683409740218,105.15377373293582,47.4432,25492,4.102734091637471,1.8863200700122076,0.8510684607786457
A112 - 223.tif,11,2105,132.6836104513064,92.82626680455016,40.0302,4835,3.3145877467052505,0.9956818511223883,0.4293757038229697
A112 - 223.tif,12,1955,198.7826086956522,153.20051513200258,72.64739999999999,7765,2.736265973294152,0.6274428755519839,0.29753224733871986
A112 - 223.tif,13,5204,171.31744811683322,111.54434224227698,47.4432,11524,3.611001114611224,1.2598877365345795,0.5358685583475756
A112 - 223.tif,14,624,124.23717948717949,97.25582785415422,32.6172,3346,3.808946796447581,0.8272123795038553,0.27742657921448677
A112 - 223.tif,15,1744,119.00172018348624,89.7136690647482,35.5824,4170,3.344398358459302,0.8231049932131331,0.3264614124112529
A112 - 223.tif,16,1145,147.67161572052402,99.22895752895752,41.5128,5180,3.557255007731386,1.1669330466722834,0.48819073981048117
A112 - 223.tif,17,3019,136.86717456111296,109.49771622218948,40.0302,13574,3.4190979442251592,0.683720249513774,0.2499546043580183
A112 - 223.tif,18,3004,112.9387483355526,90.45341614906832,40.0302,11270,2.821338597042713,0.5617092140650607,0.24858466535904342
A112 - 223.tif,19,12053,181.0800630548411,92.1074144486692,45.9606,13676,3.9398977170759766,1.935846107031097,0.9659661942426585
A112 - 223.tif,20,963,96.04776739356178,79.69883198562444,37.065,5565,2.5913332623134617,0.44108823427833443,0.20513393984035957
A112 - 223.tif,21,550,130.66,90.36622332199195,31.1346,3233,4.196617266900292,1.2941800011905162,0.4458942201222104
A112 - 223.tif,22,356,116.48033707865169,89.19320531757755,37.065,3385,3.1425964399629227,0.7361967288199694,0.30593285285417654
A112 - 223.tif,23,796,144.3354271356784,113.25029239766081,48.925799999999995,3420,2.9500882378249824,0.63535261010886,0.2744817172402712
A112 - 223.tif,24,3393,114.59622752726202,90.09897033963423,45.9606,6507,2.4933579522967158,0.5330056000639183,0.2718927540743781
A112 - 223.tif,25,920,127.41630434782608,89.53661360347323,32.6172,3455,3.9064145392235368,1.1613409714119989,0.4230636966892483
A112 - 223.tif,26,3516,165.08162684869168,90.74598138747885,40.0302,9456,4.123927105221868,1.8569891092885606,0.8191618440447884
A112 - 223.tif,27,4609,187.0423085267954,152.38640961561347,91.9212,8403,2.0348114309478915,0.3770174770065204,0.22742119193125793
A112 - 223.tif,28,1314,201.0007610350076,169.19411610191753,53.373599999999996,3807,3.7659209983465307,0.5959246692584128,0.1879890723389624
A112 - 223.tif,29,2020,214.0960396039604,184.74716981132076,47.4432,5300,4.512681260092776,0.6186106710013983,0.1588596448921224
A112 - 223.tif,30,1928,112.8246887966805,77.01954928047788,35.5824,7366,3.1708004171998656,1.006259822444243,0.4648837840009188
A112 - 223.tif,31,1215,185.54485596707818,141.1237113402062,66.717,3492,2.78107312887671,0.6658144793712822,0.31476740656740865
A112 - 224.tif,1,742,157.04177897574124,108.75866441251057,37.065,2366,4.236929149693024,1.3026605841145034,0.44394729210408695
A112 - 224.tif,2,1956,213.01533742331287,97.82535684298908,40.0302,4764,5.321365803071162,2.877576943196587,1.177506367325908
A112 - 224.tif,3,668,162.91467065868264,112.68821689259646,44.477999999999994,3836,3.662814663924963,1.129242631296231,0.44571167373692744
A112 - 224.tif,4,1213,130.04451772464964,91.21700385356455,37.065,4152,3.5085530200880646,1.047551972497223,0.42566092095241725
A112 - 224.tif,5,1233,134.29683698296836,96.67768411712511,44.477999999999994,4508,3.0193991850527087,0.8457923660547985,0.38911930095859987
A112 - 224.tif,6,917,126.31842966194111,100.9064812738282,54.856199999999994,4459,2.3027192849470786,0.46324660445820964,0.2518366319467088
A112 - 224.tif,7,3290,208.89756838905774,139.62053986968664,68.19959999999999,6446,3.06303216380195,1.0157981646404544,0.49618078098729795
A112 - 224.tif,8,9009,120.89177489177489,74.8525949917055,34.099799999999995,12659,3.5452341320571548,1.3501304959726474,0.6150645799122982
A112 - 224.tif,9,3430,128.81457725947521,97.54646044021416,37.065,16810,3.4753696809583574,0.8436022342054508,0.32054588833820064
A112 - 224.tif,10,1661,164.0487658037327,119.4622901528439,57.8214,3991,2.83716350305183,0.7711068158705552,0.37322635946549454
A112 - 224.tif,11,2289,135.55482743556138,129.01536334306346,59.303999999999995,6509,2.285761962307834,0.11027020253937712,0.05068748343251202
A112 - 224.tif,12,1091,211.07057745187902,150.34657780056395,74.13,3901,2.847303081389532,0.8191555327549376,0.4038934609328258
A112 - 224.tif,13,811,106.45499383477188,87.85081782289905,47.4432,3546,2.243840925829908,0.39213577515748266,0.21177009469917313
A112 - 224.tif,14,4545,194.9150715071507,109.90184049079754,45.9606,6357,4.240916599538334,1.8496980239130079,0.7735378282016692
A112 - 224.tif,15,9838,194.31906891644644,117.63381433662441,59.303999999999995,17117,3.2766604088034508,1.2930873898369615,0.6518980533425385
A112 - 224.tif,16,797,127.58971141781682,86.98803269118505,44.477999999999994,3426,2.8686027112084806,0.9128485704731166,0.46675016626831517
A112 - 224.tif,17,757,126.82959048877147,100.77502691065662,53.373599999999996,3716,2.376260744356927,0.4881545103428157,0.258541866712955
A112 - 224.tif,18,610,117.87704918032787,81.6992775436484,34.099799999999995,3322,3.4568252349210153,1.0609379417495144,0.44281629801344424
A112 - 224.tif,19,363,160.68044077134985,143.9741238126433,83.0256,3053,1.9353120092115774,0.2012188645031695,0.11603694132764068
A112 - 224.tif,20,510,153.35882352941175,91.48629365377394,42.9954,2663,3.566865838990755,1.4390499881672763,0.6763038199255156
A112 - 224.tif,21,1013,90.09081934846989,87.66045769026077,37.065,5637,2.430617005912956,0.06557025920824011,0.027724720152834573
A112 - 224.tif,22,1372,181.65379008746356,118.56859580355083,50.4084,4337,3.603641259223208,1.2514817822306978,0.5320565184318639
A112 - 224.tif,23,970,141.659793814433,89.32491425007795,35.5824,3207,3.9811759120975885,1.4708080272732293,0.5858934206416038
A112 - 224.tif,24,140,125.67857142857143,115.31656302996043,42.9954,1769,2.9230701749336148,0.24100272113298096,0.08985706931813663
A112 - 224.tif,25,527,192.9146110056926,174.08280961182996,62.2692,2705,3.098074344534888,0.30242561958140424,0.10817726020605958
A112 - 224.tif,26,2272,138.26320422535213,92.1859086152773,35.5824,5734,3.8857188999756884,1.2949462542471943,0.4998301399552564
A112 - 224.tif,27,632,193.22784810126583,92.14378090528719,37.065,2629,5.213215919307532,2.7272107694241616,1.0970253900142297
A112 - 224.tif,28,1294,148.40262751159196,103.11047768822489,35.5824,5087,4.170675037936879,1.2728806885043802,0.43925846174357125
A112 - 224.tif,29,962,169.53326403326403,138.6769368830392,94.8864,3343,1.7866971875358015,0.3251923051878132,0.22250511037768428
A112 - 224.tif,30,2024,147.55088932806325,95.25830195138651,59.303999999999995,5842,2.48804278468877,0.8817716742185859,0.5489556951988692
A112 - Site 13.tif,1,14496,101.63024282560707,85.23578326180258,16.3086,14912,6.231696329745662,1.0052646796016729,0.19234245213099427
